"Charge";"Formula";"Mass Diff";"Name";"Type"
"0";"H2O";"-18.010565";"H2O";"NEUTRAL_LOSS"
"0;0";"H2O;H2O";"-18.010565;-18.010565";"H2O;H2O";"NEUTRAL_LOSS;NEUTRAL_LOSS"
"0;0;0";"H2O;H2O;H2O";"-18.010565;-18.010565;-18.010565";"H2O;H2O;H2O";"NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS"
"0;0;0;0";"H2O;H2O;H2O;H2O";"-18.010565;-18.010565;-18.010565;-18.010565";"H2O;H2O;H2O;H2O";"NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS"
"0;0;0;0;0";"H2O;H2O;H2O;H2O;H2O";"-18.010565;-18.010565;-18.010565;-18.010565;-18.010565";"H2O;H2O;H2O;H2O;H2O";"NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS;NEUTRAL_LOSS"
"0";"NH3";"-17.026549";"NH3";"NEUTRAL_LOSS"
"0";"O";"15.99491462";"O";"CLUSTER"
"0";"CO";"-27.994915";"CO";"NEUTRAL_LOSS"
"0";"CO2";"-43.989829";"CO2";"NEUTRAL_LOSS"
"0";"C2H4";"-28.031301";"C2H4";"NEUTRAL_LOSS"
"0";"CHOOH";"46.005479";"HFA";"CLUSTER"
"0";"CH3COOH";"60.021129";"HAc";"CLUSTER"
"0";"CH3OH";"32.026215";"MeOH";"CLUSTER"
"0";"CH3CN";"41.026549";"ACN";"CLUSTER"
"0";"C3H8O";"60.058064";"IsoProp";"CLUSTER"
